Time (s),PID Joint 0 Angle (rad),SNN Joint 0 Angle (rad),PID Joint 0 Velocity (rad/s),SNN Joint 0 Velocity (rad/s)
5.95,0.789017599619507,0.7880055788005642,-0.06331779250563765,-0.08945318135911151
5.96,0.7887537754840669,0.787632857211568,-0.06277415938184061,-0.08945318135911151
5.97,0.7884922164866426,0.7872601356225717,-0.06221597535121001,-0.08945318135911151
5.98,0.7882329832560125,0.7868874140335754,-0.06164362106191702,-0.08945318135911151
5.99,0.7879761348349212,0.7865146924445792,-0.061057477103508714,0.06348290290001657
6.0,0.7877217286803233,0.786779204539996,-0.06045792387672269,-0.08079642187274416
6.01,0.7874698206641703,0.7864425527821929,-0.05984534146506516,-0.08079642187274416
6.0200000000000005,0.7872204650747325,0.7861059010243898,-0.05922010950816804,-0.08079642187274416
6.03,0.7869737146184484,0.7857692492665868,-0.05858260707688494,-0.08079642187274416
6.04,0.7867296204222948,0.7854325975087837,-0.05793321255031364,-0.08079642187274416
6.05,0.7864882320366685,0.7850959457509806,-0.05727230349450792,-0.08079642187274416
6.0600000000000005,0.7862495974387748,0.7847592939931776,-0.056600256543164626,-0.08079642187274416
6.07,0.7860137630365116,0.7844226422353745,-0.05591744728011372,-0.08079642187274416
6.08,0.7857807736728445,0.7840859904775714,-0.05522425012370388,-0.08079642187274416
6.09,0.7855506726306624,0.7837493387197684,-0.05452103821309151,0.07502524888183615
6.1000000000000005,0.7853235016381078,0.7840619439234426,-0.053808183296457535,-0.06925407589092458
6.11,0.7850993008743726,0.7837733852738972,-0.05308605562111017,-0.06925407589092458
6.12,0.7848781089759513,0.7834848266243517,-0.05235502382557576,-0.06925407589092458
6.13,0.7846599630433447,0.7831962679748062,-0.051615454833624896,-0.06925407589092458
6.140000000000001,0.7844448986482047,0.7829077093252608,-0.05086771375025184,-0.0663684893954688
6.15,0.784232949840912,0.7826311739527797,-0.050112163759619605,-0.0663684893954688
6.16,0.7840241491585802,0.7823546385802986,-0.049349166025035654,-0.0663684893954688
6.17,0.7838185276334759,0.7820781032078176,-0.048579079590871016,-0.0663684893954688
6.18,0.7836161148018473,0.7818015678353365,-0.04780226128648862,-0.0663684893954688
6.19,0.7834169387131537,0.7815250324628554,-0.04701906563220273,-0.0663684893954688
6.2,0.7832210259396861,0.7812484970903744,-0.046229844747230964,-0.0663684893954688
6.21,0.7830284015865726,0.7809719617178933,-0.045434948259668706,-0.0663684893954688
6.22,0.7828390893021573,0.7806954263454122,-0.04463472321849171,-0.0663684893954688
6.23,0.7826531112887469,0.7804188909729312,-0.04382951400758084,-0.0663684893954688
6.24,0.7824704883137154,0.7801423556004501,-0.04301966226177828,-0.06348290290001302
6.25,0.7822912397209579,0.7798778435050334,-0.04220550678499678,-0.06348290290001302
6.26,0.7821153834426872,0.7796133314096167,-0.04138738347033778,0.08945318135911151
6.2700000000000005,0.7819429360115607,0.779986052998613,-0.04056562522224176,-0.05194055691819344
6.28,0.7817739125731348,0.7797696340114538,-0.039740561880737074,-0.05194055691819344
6.29,0.7816083268986317,0.7795532150242946,-0.038912520147612054,-0.05194055691819344
6.3,0.7814461913980166,0.7793367960371355,-0.038081823514763975,-0.05194055691819344
6.3100000000000005,0.7812875171333717,0.7791203770499763,-0.03724879219444651,-0.049054970422737654
6.32,0.7811323138325615,0.7789159813398815,-0.036413743051653784,-0.049054970422737654
6.33,0.7809805899031796,0.7787115856297867,-0.03557698953846008,-0.049054970422737654
6.34,0.7808323524467694,0.7785071899196919,-0.03473884163043674,-0.049054970422737654
6.3500000000000005,0.7806876072733092,0.7783027942095971,-0.03389960576504942,0.10676670033184266
6.36,0.7805463589159548,0.7787476554609798,-0.03305958478211034,-0.03751262444091452
6.37,0.7804086106460294,0.7785913528591426,-0.03221907786619807,-0.03462703794546229
6.38,0.7802743644882536,0.7784470735343698,-0.03137838049109994,-0.03462703794546229
6.390000000000001,0.7801436212362074,0.778302794209597,-0.030537784366282128,-0.03462703794546229
6.4,0.7800163804680146,0.7781585148848242,-0.029697577385285223,-0.03174145145000651
6.41,0.7798926405622426,0.7780262588371158,-0.028858043576162097,-0.03174145145000651
